profilnummer	rechtswert	hochwert	neigungmikro	gruendigkeit_wert	ol_maecht	of_maecht	oh_maecht	flurabstand	ausgangsmaterial	bodentyp_oe	humusform	hoehenstufe	oekofeuchte	landnutzung
1	11.23944444	46.40444444	10	100	0	0	0	10	50000	1742	110	11	230	500
2	11.24361111	46.45527778	8	185	0	0	0	10	50000	1742	110	11	230	500
3	11.26833333	46.45527778	0	220	0	0	0	10	50000	1742	110	11	230	500
4	11.26361111	46.44916667	5	400	0	0	0	10	50000	1742	110	11	230	500
5	11.23972222	46.46972222	10	130	0	0	0	10	50000	1742	110	11	230	500
6	11.24611111	46.46666667	8	135	0	0	0	10	50000	1742	110	11	230	500
7	11.24333333	46.46555556	6	130	0	0	0	10	50000	1312	110	11	230	500
8	11.25166667	46.46666667	7	180	0	0	0	10	50000	1742	110	11	230	500
9	11.25555556	46.46166667	3	125	0	0	0	10	50000	1742	110	11	230	500
10	11.25027778	46.48861111	10	90	0	0	0	10	50000	1742	110	11	230	500
11	11.24833333	46.48805556	3	90	0	0	0	10	50000	1312	110	11	230	500
12	11.25555556	46.4825	5	80	0	0	0	10	50000	1220	110	11	230	500
13	11	46	14	120	0	0	0	10	50000	1742	110	11	230	500
14	11	46	0	170	0	0	0	10	50000	1741	110	11	230	500
15	11	46	0	170	0	0	0	10	50000	1741	110	11	230	500
16	11	46	17	130	0	0	0	10	50000	1742	110	11	230	500
17	11	46	7	170	0	0	0	10	50000	1742	110	11	230	500
18	11	46	0	200	0	0	0	10	50000	1741	110	11	230	500
19	11	46	6	125	0	0	0	10	50000	1741	110	11	230	500
20	11	46	0	110	0	0	0	10	50000	2340	110	11	230	500
21	11	46	5	135	0	0	0	10	50000	1742	110	11	230	500
22	11	46	0	115	0	0	0	10	50000	1742	110	11	230	500
23	11	46	0	170	0	0	0	10	50000	1741	110	11	230	500
24	11	46	2	145	0	0	0	10	50000	1742	110	11	230	500
25	11	46	2	145	0	0	0	10	50000	1741	110	11	230	500
26	11	46	5	115	0	0	0	10	50000	1742	110	11	230	500
27	11	46	5	160	0	0	0	10	50000	1741	110	11	230	500
28	11	46	3	125	0	0	0	10	50000	1741	110	11	230	500
29	11	46	0	130	0	0	0	10	50000	1741	110	11	230	500
30	11	46	15	110	0	0	0	10	50000	1311	110	11	230	500
31	11	46	3	115	0	0	0	10	50000	1741	110	11	230	500
32	11	46	25	140	0	0	0	10	50000	1742	110	11	230	500
33	11	46	4	165	0	0	0	10	50000	1312	110	11	230	500
34	11	46	10	130	0	0	0	10	50000	1311	110	11	230	500
35	11	46	20	130	0	0	0	10	50000	1312	110	11	230	500
36	11	46	4	140	0	0	0	10	50000	1742	110	11	230	500
37	11	46	7	130	0	0	0	10	50000	1741	110	11	230	500
38	11	46	12	150	0	0	0	10	50000	1741	110	11	230	500
39	11	46	14	160	0	0	0	10	50000	1742	110	11	230	500
40	11	46	0	85	0	0	0	10	50000	1742	110	11	230	500
41	11	46	8	150	0	0	0	10	50000	1741	110	11	230	500
42	11	46	0	150	0	0	0	10	50000	1312	110	11	230	500
43	11	46	5	110	0	0	0	10	50000	1742	110	11	230	500
44	11	46	17	120	0	0	0	10	50000	1742	110	11	230	500
45	11	46	4	160	0	0	0	10	50000	1741	110	11	230	500
46	11	46	0	130	0	0	0	10	50000	1741	110	11	230	500
47	11	46	6	150	0	0	0	10	50000	1741	110	11	230	500
48	11	46	5	120	0	0	0	10	50000	1311	110	11	230	500
49	11	46	5	80	0	0	0	10	50000	1742	110	11	230	500
50	11	46	6	110	0	0	0	10	50000	1742	110	11	230	500
51	11	46	6	120	0	0	0	10	50000	1312	110	11	230	500
52	11	46	8	135	0	0	0	10	50000	1741	110	11	230	500
53	11	46	0	130	0	0	0	10	50000	1311	110	11	230	500
54	11	46	4	150	0	0	0	10	50000	1312	110	11	230	500
55	11	46	8	125	0	0	0	10	50000	1741	110	11	230	500
56	11	46	10	110	0	0	0	10	50000	1742	110	11	230	500
57	11	46	10	125	0	0	0	10	50000	1742	110	11	230	500
58	11	46	8	120	0	0	0	10	50000	1741	110	11	230	500
59	11	46	5	105	0	0	0	10	50000	1742	110	11	230	500
