profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
6	1_U	Ahb	6					3.9	sU - sandiger Schluff					stark humos (4-8%)		70.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		6.0	70.0	Ld2	1.3	23.0	2.0	1.4	5.0	8.0	5.0	5.0	11.0	300.0	20.0	6.0	20.0	
6	1_U	BvCv1	46					3.8	sU - sandiger Schluff					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	50																		0.0	70.0	Ld5	2.0	240.0	18.0	0.0	25.0	37.0	30.0	25.0	41.0	300.0	8.0	2.0	20.0	
6	1_U	BvCv2	60					4.2	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	50																		0.0	80.0	Ld5	2.0	56.0	4.0	0.0	6.0	9.0	7.0	6.0	10.0	300.0	8.0	4.0	30.0	
7	2_U	Ahi	3					3.7	sL - sandiger Lehm					stark humos (4-8%)		25.0	hoch (20 bis <40%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		6.0	25.0	Ld1	1.0	23.0	5.0	1.4	6.0	11.0	3.0	9.0	14.0	32.0	25.0	8.0	10.0	
7	2_U	Bv1	32					3.9	sL - sandiger Lehm					humusfrei (0%)		25.0	hoch (20 bis <40%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	25.0	Ld2	1.3	283.0	57.0	0.0	48.0	89.0	18.0	66.0	108.0	32.0	13.0	4.0	20.0	
7	2_U	Bv2	65					4.0	sL - sandiger Lehm					humusfrei (0%)		40.0	hoch (20 bis <40%)		dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	40.0	Ld4	1.8	356.0	71.0	0.0	29.0	60.0	10.0	39.0	70.0	8.0	13.0	7.0	20.0	
8	3_U	Ahb1	3					4.4	sU - sandiger Schluff					mittel humos (2-4%)		2.0	gering (0 bis <10%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		3.0	2.0	Ld3	1.55	46.0	3.0	1.4	7.0	11.0	2.0	7.0	13.0	11.0	14.0	7.0	30.0	
8	3_U	Ahb2	15					4.4	sU - sandiger Schluff					mittel humos (2-4%)		5.0	gering (0 bis <10%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		3.0	5.0	Ld3	1.55	177.0	13.0	5.3	28.0	42.0	8.0	28.0	50.0	11.0	14.0	7.0	30.0	
8	3_U	BvCv1	45					4.6	sU - sandiger Schluff					schwach humos (1-2%)		70.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		1.5	70.0	Ld3	1.55	140.0	11.0	2.1	22.0	32.0	23.0	22.0	37.0	300.0	11.0	6.0	40.0	
8	3_U	BvCv2	75					4.9	uS - schluffiger Sand					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		0.0	80.0	Ld4	1.8	108.0	3.0	0.0	12.0	17.0	15.0	12.0	19.0	300.0	4.0	2.0	50.0	
8	3_U	IICu1	100					5.0	tS - toniger Sand					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	80.0	Ld5	2.0	100.0	20.0	0.0	7.0	13.0	13.0	7.0	18.0	300.0	9.0	6.0	50.0	
8	3_U	IIICu2	120					5.0	S - Sand					humusfrei (0%)		2.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		0.0	2.0	Ld2	1.3	255.0	6.0	0.0	31.0	45.0	37.0	31.0	82.0	196.0	3.0	2.0	50.0	
9	4_U	Arig1	20					7.3	sU - sandiger Schluff					stark humos (4-8%)		60.0	sehr hoch (40 bis <80%)		locker		stark kalkhaltig (>5%)		Krümel	80																		6.0	60.0	Ld2	1.3	104.0	8.0	6.2	24.0	37.0	9.0	24.0	47.0	300.0	20.0	20.0	95.0	
9	4_U	Arig2	40					7.4	sU - sandiger Schluff					stark humos (4-8%)		70.0	sehr hoch (40 bis <80%)		locker		stark kalkhaltig (>5%)		Krümel	70																		6.0	70.0	Ld2	1.3	78.0	6.0	4.7	18.0	28.0	15.0	18.0	35.0	300.0	20.0	20.0	95.0	
9	4_U	Cv	90					7.6	sU - sandiger Schluff					mittel humos (2-4%)		90.0	vorwiegend (über 80%)		locker		stark kalkhaltig (>5%)		Krümel	70																		3.0	90.0	Ld2	1.3	65.0	5.0	2.0	14.0	21.0	13.0	14.0	26.0	300.0	14.0	14.0	100.0	
10	5_U	Ahb1	3					6.1	U - Schluff					stark humos (4-8%)		5.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		6.0	5.0	Ld1	1.0	29.0	3.0	1.7	8.0	13.0	3.0	11.0	17.0	27.0	22.0	20.0	80.0	
10	5_U	Ahb2	16					5.9	sU - sandiger Schluff					stark humos (4-8%)		5.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	70																		6.0	5.0	Ld1	1.0	124.0	9.0	7.4	36.0	57.0	14.0	50.0	73.0	300.0	20.0	14.0	70.0	
10	5_U	AhBv	30					5.9	sU - sandiger Schluff					mittel humos (2-4%)		35.0	hoch (20 bis <40%)		mittel		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		3.0	35.0	Ld3	1.55	141.0	11.0	4.2	22.0	34.0	6.0	28.0	40.0	11.0	14.0	10.0	70.0	
10	5_U	BvCv1	40					5.7	lU - lehmiger Schluff					mittel humos (2-4%)		60.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	80																		3.0	60.0	Ld5	2.0	80.0	16.0	2.4	7.0	15.0	2.0	9.0	17.0	300.0	20.0	14.0	70.0	
10	5_U	IIBvCv2	70					5.8	lU - lehmiger Schluff					mittel humos (2-4%)		70.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		3.0	70.0	Ld5	2.0	180.0	36.0	5.4	17.0	33.0	23.0	40.0	38.0	300.0	20.0	14.0	70.0	
