profilnummer	datum	kartierer	rechtswert	hochwert	seehoehe	exposition_wert	exposition_klasse	neigungmakro	neigungmikro	hangneigung	gruendigkeit_wert	gruendigkeit_klasse	entwicklungstiefe	profillaenge	profilbreite	hoehenstufe	witterung	makrorelief	mesorelief	woelbung	woelbungsstaerke	mikrorelief	mikrorelief_b	geologietext	ausgangsmaterial	abzufluss	flurabstand	grundwasser	hangwasser	hangwasser_b	stauwasser	grundstauwasser	oekofeuchte	lateralfliess	ol_maecht	ol_lagerung	of_maecht	of_lagerung	oh_maecht	oh_lagerung	m_maecht	torf_zersetzung	torf_holz	torf_moos	torf_kraut	torf_minerogen	organik_text	humusform	anthropogen	basenreichtum	karbonatgehalt	locker_stein	locker_kies_grob	locker_kies_fein	locker_feinerde	landnutzung	landnutzung_text	vegetation	vegetation_text	verdichtung	gefaehrdung	bodentyp_text	bodentyp_oe	versiegelungsgrad	vegetationsgrad	vegfrei	moosschicht	krautschicht	strauchschicht	baumschicht	fels	bloeckesteine	offenerboden	naturarchiv	kulturarchiv	drainage	bewaesserung	erosionsschutz	erosionsgrad	erosionsausmass	wurzeln10	wurzeln20	wurzeln30	wurzeln40	wurzeln50	durchgaengigkeit	matrixaustausch	zeigerarten	sonstige	bodentyp	erosion	koernigkeit	horizonte	organik	wurzel	Sx01_FBges	Sx02_TMges	Sx03_HMges	Sx04_nFKges	Sx04a_nFKwe	Sx05_FKges	Sx05a_FKwe	Sx06_LKges	Sx06a_LKwe	Sx07_LKoben	Sx08_WSVges	Sx09_WSVwe	Sx10_kfmin	Sx11_kfave	Sx12_We	Sx13_KAKges	Sx14_KAKWe	Sx15_MbWe	Leben_Tr	Leben_Fe	Leben_Org	Leben_Kult	Retent_ave	Retent_min	Retent_stark	GWneu	Naehrstoff	CO2_Senke	FiltPuff	Transform	FiltPuff_Org	FiltPuff_Nit	Puff_sauer	Arc_Nat	Arc_Kult	dateeval	template	templatename	
1			11.239445	46.404446					10	LW-leicht hängig	100					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														439|440|441|442			771.0	11042.0	17.0	101.0	92.0	195.0	181.0	60.0	47.0	36.0	101.0	92.0	16.0	52.0	100	10549.0	10099.0	9614.0	4	4	1	3	2	4	1	4	1	4	3	2	5	2	1	5	5	2017-12-16			
2			11.243611	46.455276					8	LW-leicht hängig	185					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														443|444|445|446			2135.0	24633.0	42.0	334.0	221.0	496.0	328.0	139.0	99.0	139.0	334.0	221.0	20.0	38.0	185	26588.0	16823.0	16337.0	5	2	2	4	2	2	1	2	1	3	1	1	5	1	1	5	5	2017-12-16			
3			11.268333	46.455276					0	LW-eben	220					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														447|448|449|450			3727.0	110352.0	40.0	285.0	285.0	744.0	744.0	91.0	91.0	42.0	376.0	376.0	5.0	6.0	220	74998.0	74998.0	73360.0	5	2	1	4	4	4	1	2	1	3	1	1	4	1	1	5	5	2017-12-16			
4			11.263611	46.449165					5	LW-schwach geneigt	400					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														451|452|453|454			4274.0	80642.0	42.0	529.0	529.0	958.0	958.0	131.0	131.0	131.0	660.0	660.0	4.0	7.0	400	62024.0	62024.0	61209.0	5	2	1	4	4	4	1	2	1	3	1	2	5	1	1	5	5	2017-12-16			
5			11.239722	46.469723					10	LW-leicht hängig	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														455|456|457|458			1619.0	37815.0	30.0	173.0	173.0	387.0	387.0	69.0	69.0	69.0	173.0	173.0	8.0	12.0	130	28838.0	28838.0	27396.0	4	3	1	4	4	4	1	1	1	3	1	2	5	1	1	5	5	2017-12-16			
6			11.246111	46.466667					8	LW-leicht hängig	135					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														459|460|461|462			943.0	17272.0	22.0	148.0	148.0	263.0	263.0	62.0	62.0	27.0	148.0	148.0	16.0	86.0	135	15279.0	15279.0	14655.0	4	3	1	4	2	3	1	3	1	3	2	2	5	2	1	5	5	2017-12-16			
7			11.243333	46.465557					6	LW-leicht hängig	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonathaltige Braunerde																														463|464|465|466|467			1517.0	28518.0	17.0	179.0	179.0	329.0	329.0	67.0	67.0	16.0	179.0	179.0	5.0	12.0	130	21244.0	21244.0	20443.0	4	3	1	4	4	5	3	3	1	4	1	3	5	1	1	5	5	2017-12-16			
8			11.251667	46.466667					7	LW-leicht hängig	180					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														468|469|470|471			1860.0	31168.0	21.0	294.0	294.0	495.0	495.0	119.0	119.0	52.0	294.0	294.0	16.0	29.0	180	24301.0	24301.0	23736.0	5	2	1	4	2	2	1	2	1	3	1	2	5	1	1	5	5	2017-12-16			
9			11.255555	46.461666					3	LW-schwach geneigt	125					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														472|473|474			1806.0	35226.0	31.0	252.0	252.0	488.0	488.0	89.0	89.0	89.0	341.0	341.0	5.0	11.0	125	28916.0	28916.0	28082.0	5	2	1	4	3	4	1	2	1	3	1	1	5	1	1	5	5	2017-12-16			
10			11.2502775	46.48861					10	LW-leicht hängig	90					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														475|476|477			1730.0	17406.0	14.0	236.0	175.0	350.0	256.0	84.0	67.0	84.0	236.0	175.0	11.0	20.0	90	13784.0	8888.0	8444.0	4	3	2	3	2	3	1	1	1	4	1	2	5	1	1	5	5	2017-12-16			
