profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
391	12	C	80					7.51	lS - lehmiger Sand						1.22		sehr hoch (40 bis <80%)		locker	68.0			Einzelkorn	50	Bröckel (<50mm)								14.0	44.0	42.0							1.22	60.0	Ld2	1.3	312.0	4368.0	3.8	61.0	89.0	24.0	85.0	109.0	300.0	12.0	12.0	100.0	
392	13	Ap1	30					7.42	T - Ton						1.28		gering (0 bis <10%)		dicht	7.0			Polyeder	100									58.0	38.0	4.0							1.28	5.0	Ld4	1.8	513.0	29754.0	6.6	34.0	130.0	7.0	34.0	127.0	1.0	33.0	33.0	95.0	
392	13	Ap2	60					7.59	T - Ton						0.83		gering (0 bis <10%)		dicht	6.0			Polyeder	100									54.0	41.0	5.0							0.83	5.0	Ld4	1.8	513.0	27702.0	4.3	31.0	121.0	6.0	31.0	127.0	1.0	31.0	31.0	100.0	
392	13	ApC	85					7.66	T - Ton						0.63		gering (0 bis <10%)		dicht	6.0			Polyeder	100									55.0	40.0	5.0							0.63	5.0	Ld4	1.8	428.0	23540.0	2.7	26.0	101.0	5.0	26.0	106.0	1.0	31.0	31.0	100.0	
392	13	C	120					7.76	T - Ton						0.24		gering (0 bis <10%)		sehr dicht	8.0			Kohärentgefüge	100									68.0	30.0	2.0							0.24	5.0	Ld5	2.0	665.0	45220.0	1.6	37.0	141.0	7.0	37.0	148.0	1.0	36.0	36.0	100.0	
393	14	Ap1	25					5.65	lS - lehmiger Sand						1.53		gering (0 bis <10%)		locker	0.0			Subpolyeder	100									13.0	43.0	44.0							1.53	5.0	Ld2	1.3	309.0	4017.0	4.7	61.0	88.0	24.0	85.0	108.0	300.0	12.0	8.0	70.0	
393	14	Ap2	77					5.96	lS - lehmiger Sand						0.62		gering (0 bis <10%)		locker	0.0			Subpolyeder	100									13.0	45.0	42.0							0.62	5.0	Ld2	1.3	642.0	8346.0	4.0	124.0	175.0	49.0	173.0	225.0	300.0	10.0	7.0	70.0	
393	14	B	95					6.16	lS - lehmiger Sand						0.34		gering (0 bis <10%)		mittel	0.0			Polyeder	100									13.0	45.0	42.0							0.34	5.0	Ld3	1.55	265.0	3445.0	0.9	36.0	52.0	13.0	49.0	65.0	20.0	9.0	8.0	80.0	
393	14	BC	145					6.37	lS - lehmiger Sand						0.19		gering (0 bis <10%)		mittel	0.0			Kohärentgefüge	100									8.0	41.0	51.0							0.19	5.0	Ld3	1.55	736.0	5888.0	1.4	100.0	145.0	36.0	136.0	181.0	20.0	6.0	5.0	80.0	
393	14	C	170					6.49	uS - schluffiger Sand						0.02		gering (0 bis <10%)		locker	0.0			Kohärentgefüge	100									3.0	32.0	65.0							0.02	5.0	Ld2	1.3	309.0	927.0	0.1	62.0	86.0	23.0	85.0	108.0	40.0	3.0	3.0	80.0	
394	15	Ap1	25					5.59	lS - lehmiger Sand						1.98		gering (0 bis <10%)		mittel	0.0			Subpolyeder	100									13.0	43.0	44.0							1.98	5.0	Ld3	1.55	368.0	4784.0	7.3	51.0	76.0	18.0	69.0	90.0	20.0	13.0	9.0	70.0	
394	15	Ap2	45					6.06	lS - lehmiger Sand						0.71		gering (0 bis <10%)		mittel	0.0			Subpolyeder	100									14.0	44.0	42.0							0.71	5.0	Ld3	1.55	295.0	4130.0	2.1	40.0	58.0	14.0	54.0	72.0	20.0	11.0	10.0	80.0	
