profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	34_U	Ahe	5					4.7	uS - schluffiger Sand					anmoorig bzw. äußerst humos (15-30%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		22.5	0.0	Ld1	1.0	50.0	1.0	11.3	19.0	28.0	3.0	19.0	37.0	40.0	49.0	25.0	40.0	
361	34_U	Bv1	25					4.0	sU - sandiger Schluff					mittel humos (2-4%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		3.0	0.0	Ld1	1.0	200.0	15.0	6.0	54.0	85.0	20.0	54.0	105.0	32.0	14.0	7.0	20.0	
361	34_U	Bv2	45					4.0	sU - sandiger Schluff					mittel humos (2-4%)		10.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		3.0	10.0	Ld2	1.3	234.0	18.0	7.0	49.0	77.0	18.0	49.0	94.0	32.0	14.0	7.0	20.0	
361	34_U	Bv3	65					4.0	sU - sandiger Schluff					schwach humos (1-2%)		0.0	kein (0%)		dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		1.5	0.0	Ld4	1.8	360.0	27.0	5.4	43.0	65.0	7.0	43.0	72.0	4.0	11.0	6.0	20.0	
361	34_U	IIBvCv1	90					4.2	uS - schluffiger Sand					schwach humos (1-2%)		0.0	kein (0%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		1.5	0.0	Ld2	1.3	325.0	8.0	4.9	66.0	94.0	20.0	66.0	114.0	40.0	7.0	4.0	30.0	
361	34_U	IIBvCv2	110					4.5	uS - schluffiger Sand					sehr schwach humos (< 1%)		0.0	kein (0%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.5	0.0	Ld2	1.3	260.0	7.0	1.3	52.0	72.0	19.0	52.0	91.0	40.0	5.0	3.0	40.0	
361	34_U	IIBvCv3	125					4.5	uS - schluffiger Sand					sehr schwach humos (< 1%)		0.0	kein (0%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.5	0.0	Ld2	1.3	195.0	5.0	1.0	39.0	54.0	14.0	39.0	68.0	40.0	5.0	3.0	40.0	
361	34_U	IVCu3	175					5.9	S - Sand					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		0.0	90.0	Ld2	1.3	20.0	1.0	0.0	2.0	3.0	4.0	2.0	6.0	300.0	3.0	2.0	70.0	
361	34_U	IIICu1	145					4.7	S - Sand					sehr schwach humos (< 1%)		60.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		0.5	60.0	Ld2	1.3	104.0	3.0	0.5	13.0	18.0	15.0	13.0	34.0	300.0	4.0	2.0	40.0	
361	34_U	IIICu2	160					4.7	S - Sand					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		0.0	70.0	Ld2	1.3	59.0	1.0	0.0	7.0	10.0	11.0	7.0	19.0	300.0	3.0	2.0	40.0	
